Variable,NAME,LSAD,metro,metro,micro,micro,inBuff,inBuff,commuteBuffCount,commuteBuffCount,workingPop,workingPop,commutePercent,commutePercent,liminal,liminal,Days with AQI,Days with AQI,Days with AQI,Days with AQI,Good Days,Good Days,Good Days,Good Days,Moderate Days,Moderate Days,Moderate Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy for Sensitive Groups Days,Unhealthy for Sensitive Groups Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Unhealthy Days,Unhealthy Days,Unhealthy Days,Very Unhealthy Days,Very Unhealthy Days,Very Unhealthy Days,Very Unhealthy Days,Hazardous Days,Hazardous Days,Hazardous Days,Hazardous Days,Max AQI,Max AQI,Max AQI,Max AQI,90th Percentile AQI,90th Percentile AQI,90th Percentile AQI,90th Percentile AQI,Median AQI,Median AQI,Median AQI,Median AQI,Days CO,Days CO,Days CO,Days CO,Days NO2,Days NO2,Days NO2,Days NO2,Days Ozone,Days Ozone,Days Ozone,Days Ozone,Days PM2.5,Days PM2.5,Days PM2.5,Days PM2.5,Days PM10,Days PM10,Days PM10,Days PM10,POPESTIMATE,POPESTIMATE,POPESTIMATE,POPESTIMATE,NPOPCHG,NPOPCHG,NPOPCHG,NPOPCHG,BIRTHS,BIRTHS,BIRTHS,BIRTHS,DEATHS,DEATHS,DEATHS,DEATHS,NATURALINC,NATURALINC,NATURALINC,NATURALINC,INTERNATIONALMIG,INTERNATIONALMIG,INTERNATIONALMIG,INTERNATIONALMIG,DOMESTICMIG,DOMESTICMIG,DOMESTICMIG,DOMESTICMIG,NETMIG,NETMIG,NETMIG,NETMIG,RESIDUAL,RESIDUAL,RESIDUAL,RESIDUAL,GQESTIMATES,GQESTIMATES,GQESTIMATES,GQESTIMATES,RBIRTH,RBIRTH,RBIRTH,RDEATH,RDEATH,RDEATH,RNATURALINC,RNATURALINC,RNATURALINC,RINTERNATIONALMIG,RINTERNATIONALMIG,RINTERNATIONALMIG,RDOMESTICMIG,RDOMESTICMIG,RDOMESTICMIG,RNETMIG,RNETMIG,RNETMIG,avg_d_kbps,avg_d_kbps,avg_u_kbps,avg_u_kbps,avg_lat_ms,avg_lat_ms,tests,tests,devices,devices,Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),HPI,HPI,HPI,HPI,HPI with 1990 base,HPI with 1990 base,HPI with 1990 base,HPI with 1990 base,HPI with 2000 base,HPI with 2000 base,HPI with 2000 base,HPI with 2000 base,Total_Population,Total_Population,Total_Population,Total_Population,Total_Male_Pop,Total_Male_Pop,Total_Male_Pop,Total_Male_Pop,Total_Female_Pop,Total_Female_Pop,Total_Female_Pop,Total_Female_Pop,Median_Age,Median_Age,Median_Age,Median_Age,M_Median_Age,M_Median_Age,M_Median_Age,M_Median_Age,F_Median_Age,F_Median_Age,F_Median_Age,F_Median_Age,Race_white,Race_white,Race_white,Race_white,Race_black,Race_black,Race_black,Race_black,Race_Am_Indian,Race_Am_Indian,Race_Am_Indian,Race_Am_Indian,Race_Asian,Race_Asian,Race_Asian,Race_Asian,Race_Pac_Isl,Race_Pac_Isl,Race_Pac_Isl,Race_Pac_Isl,Median_Income,Median_Income,Median_Income,Median_Income,Less_High,Less_High,Less_High,Less_High,High_Equiv,High_Equiv,High_Equiv,High_Equiv,College_Assoc_Equiv,College_Assoc_Equiv,College_Assoc_Equiv,College_Assoc_Equiv,Bachelors,Bachelors,Bachelors,Bachelors,Grad_Prof,Grad_Prof,Grad_Prof,Grad_Prof,Ag_For_Fish_Hunt_Mine,Ag_For_Fish_Hunt_Mine,Ag_For_Fish_Hunt_Mine,Ag_For_Fish_Hunt_Mine,Construction,Construction,Construction,Construction,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale,Wholesale,Wholesale,Wholesale,Retail,Retail,Retail,Retail,Trans_Ware_Util,Trans_Ware_Util,Trans_Ware_Util,Trans_Ware_Util,Information,Information,Information,Information,Fin_Insur_Real,Fin_Insur_Real,Fin_Insur_Real,Fin_Insur_Real,Fin_Insur,Fin_Insur,Fin_Insur,Fin_Insur,Real_Rental,Real_Rental,Real_Rental,Real_Rental,Prof_Sci_Tech,Prof_Sci_Tech,Prof_Sci_Tech,Prof_Sci_Tech,Mngmt_Enter,Mngmt_Enter,Mngmt_Enter,Mngmt_Enter,Admin_WstMngmt,Admin_WstMngmt,Admin_WstMngmt,Admin_WstMngmt,Ed_Servc,Ed_Servc,Ed_Servc,Ed_Servc,Hlthcr_Social,Hlthcr_Social,Hlthcr_Social,Hlthcr_Social,Arts_Entr_Rec,Arts_Entr_Rec,Arts_Entr_Rec,Arts_Entr_Rec,Accom_Food_Srvc,Accom_Food_Srvc,Accom_Food_Srvc,Accom_Food_Srvc,Other_Servc,Other_Servc,Other_Servc,Other_Servc,Public_admin,Public_admin,Public_admin,Public_admin,Num_Total_Worker,Num_Total_Worker,Num_Comp_Info_Res,Num_Comp_Info_Res,Num_Soft_Dev,Num_Soft_Dev,Num_Comp_Sys_Analyst,Num_Comp_Sys_Analyst,Num_Info_Sec_Analyst,Num_Info_Sec_Analyst,Num_Comp_Programmer,Num_Comp_Programmer,Num_Soft_Qual,Num_Soft_Qual,Num_Web_Dev,Num_Web_Dev,Sal_Avg_Occ,Sal_Avg_Occ,Sal_Avg_Occ,Sal_Avg_Occ,Avg_Comp_EngSci,Avg_Comp_EngSci,Avg_Comp_EngSci,Avg_Comp_EngSci,Avg_Mngmt_Bus_Fin,Avg_Mngmt_Bus_Fin,Avg_Mngmt_Bus_Fin,Avg_Mngmt_Bus_Fin,Num_Workers,Num_Workers,Num_Workers,Num_Workers,Num_Worked_Home,Num_Worked_Home,Num_Worked_Home,Num_Worked_Home,Worked_Home_White,Worked_Home_White,Worked_Home_White,Worked_Home_White,Worked_Home_Black,Worked_Home_Black,Worked_Home_Black,Worked_Home_Black,Worked_Home_NA,Worked_Home_NA,Worked_Home_NA,Worked_Home_NA,Worked_Home_Asian,Worked_Home_Asian,Worked_Home_Asian,Worked_Home_Asian,Worked_Home_White_Not_Hispanic,Worked_Home_White_Not_Hispanic,Worked_Home_White_Not_Hispanic,Worked_Home_White_Not_Hispanic,Worked_Home_White_Hispanic,Worked_Home_White_Hispanic,Worked_Home_White_Hispanic,Worked_Home_White_Hispanic,Education_Pop,Education_Pop,Education_Pop,Education_Pop,Pop_Less_HS,Pop_Less_HS,Pop_Less_HS,Pop_Less_HS,Pop_HS_Grad,Pop_HS_Grad,Pop_HS_Grad,Pop_HS_Grad,Pop_Some_College,Pop_Some_College,Pop_Some_College,Pop_Some_College,Pop_Bachelors,Pop_Bachelors,Pop_Bachelors,Pop_Bachelors,Pop_Grad,Pop_Grad,Pop_Grad,Pop_Grad,Pop_Worked_Home,Pop_Worked_Home,Pop_Worked_Home,Pop_Worked_Home,Pop_Worked_Home_1-10k,Pop_Worked_Home_1-10k,Pop_Worked_Home_1-10k,Pop_Worked_Home_1-10k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_75k-more,Pop_Worked_Home_75k-more,Pop_Worked_Home_75k-more,Pop_Worked_Home_75k-more,Median_Income_Worked_home,Median_Income_Worked_home,Median_Income_Worked_home,Median_Income_Worked_home,Pct_Less_HS,Pct_Less_HS,Pct_Less_HS,Pct_Less_HS,Pct_HS_Grad,Pct_HS_Grad,Pct_HS_Grad,Pct_HS_Grad,Pct_Some_College,Pct_Some_College,Pct_Some_College,Pct_Some_College,Pct_Bachelors,Pct_Bachelors,Pct_Bachelors,Pct_Bachelors,Pct_Grad,Pct_Grad,Pct_Grad,Pct_Grad,Pct_BS_Above,Pct_BS_Above,Pct_BS_Above,Pct_BS_Above
Year,2020,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2015,2019,2021,2015,2019,2021,2015,2019,2021,2015,2019,2021,2015,2019,2021,2015,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021,2010,2015,2019,2021
CBSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,False,False,False,False,True,True,21008.0,20168.0,80835.0,78919.0,25.98874250015464,25.55531621029156,False,False,365.0,358.0,365.0,365.0,205.0,302.0,245.0,262.0,155.0,56.0,120.0,102.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,97.0,87.0,107.0,77.0,54.0,61.0,61.0,46.0,38.0,44.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,148.0,136.0,120.0,228.0,210.0,229.0,245.0,0.0,0.0,0.0,0.0,193436.0,202635.0,213681.0,218235.0,878.0,4213.0,2315.0,2536.0,591.0,2200.0,2142.0,2146.0,353.0,1420.0,1514.0,1883.0,238.0,780.0,628.0,263.0,87.0,560.0,260.0,192.0,494.0,2833.0,1431.0,2052.0,581.0,3393.0,1691.0,2244.0,59.0,40.0,-4.0,29.0,10425.0,12239.0,11023.0,10629.0,10.9508467533,10.19629418905,10.0178574755,8.2927181432,8.406143969199999,10.655682035275,2.658128609875,1.790150219775,-0.6378245596000001,1.4900706662,0.5325286955,0.5691394237749999,11.5706183785,10.165652955125,17.082571211425,13.060689044425,10.698181650625,17.6517106352,99705.00740484428,151937.70173510246,32346.42574394464,41624.5378817618,219978,189898,42682,35167,14450,12737,-5.34,3.41,7.56,12.83,479.42,472.14,629.92,742.62,185.04,182.23,243.13,286.63,122.67,120.81,161.18,190.02,188932,198225,208457,213886,91378,95499,100687,103670,97554,102726,107770,110216,35.975,37.2,37.975,37.825,35.325,36.425,37.275,36.825,36.6,37.8,38.875,38.95,139168,144297,150126,149495,37421,39054,42940,42219,191,404,309,500,5624,7065,6438,7019,36,45,109,69,32639.25,32889.25,37283.25,39864.25,20719.25,19627.0,24717.5,30781.25,27222.25,27762.25,29234.5,30809.0,30676.5,31653.5,34131.25,36824.75,40161.5,40577.5,45840.75,50450.5,52379.75,54632.5,56665.0,59952.5,28609.0,27225.0,33175.75,37436.0,26261.75,29706.75,37635.5,40929.25,37658.25,38174.0,45672.0,45887.25,37946.25,43504.5,48287.5,51456.25,19132.75,21011.0,24374.5,25325.25,32731.25,35883.25,39778.25,39017.25,26792.25,42289.0,30792.0,53498.75,37077.75,36454.0,44587.75,63814.25,40437.25,41313.25,48744.0,53412.75,30826.33333333333,28916.25,34049.0,61281.75,37958.0,47748.25,49597.0,52117.0,47837.5,101250.0,,,22080.5,20612.25,25727.25,24704.0,31883.0,35944.75,39945.5,42158.25,34041.0,33262.5,38450.75,40550.0,9497.75,21029.25,19520.5,20741.25,13602.0,11556.25,12644.5,13338.75,18383.5,24399.0,24299.75,27860.75,45055.0,41464.75,48092.75,53893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37575.75,39209.5,44307.5,49080.25,57677.75,59965.0,66085.5,67152.75,48651.25,53401.0,58871.0,65940.5,84681,86551,97111,100695,4009,3116,5441,9921,3287,2653,4847,7727,528,249,402,1231,8,7,0,24,125,130,79,238,3277,2580,4737,7619,127,137,156,505,107630.0,116951.0,126504.0,130681.0,18992.0,16173.0,15408.0,13890.0,27462.0,30375.0,31026.0,29714.0,24204.0,29512.0,30282.0,32634.0,19398.0,20780.0,25183.0,27182.0,17574.0,20111.0,24605.0,27261.0,3994,3116,5441,9921,1120,706,1005,1712,403,393,452,499,523,322,469,980,394,376,726,945,487,229,707,1139,347,352,590,1074,162,116,138,466,558,622,1354,3106,30514.75,18158.0,37412.25,49028.0,0.1764563783331784,0.138288685004831,0.1217985202048947,0.106289361116,0.2551519093189631,0.2597241579806927,0.2452570669702143,0.2273781192369204,0.2248815386044783,0.252344999187694,0.2393758300132802,0.2497226069589305,0.180228560810183,0.1776812511222648,0.1990688041484854,0.2080026935820815,0.163281612933197,0.1719609067045172,0.1944997786631253,0.2086072191060674,0.3435101737433801,0.3496421578267821,0.3935685828116107,0.416609912688149
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,True,True,False,False,True,True,2412279.0,2346403.0,2590292.0,2517685.0,93.12768599061418,93.19684551482813,False,False,365.0,365.0,365.0,365.0,110.0,140.0,162.0,209.0,208.0,209.0,184.0,148.0,40.0,14.0,18.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,172.0,172.0,150.0,105.0,89.0,87.0,77.0,60.0,55.0,52.0,47.0,0.0,0.0,0.0,0.0,8.0,4.0,9.0,13.0,165.0,127.0,171.0,149.0,192.0,234.0,185.0,203.0,0.0,0.0,0.0,0.0,5302733.0,5688583.0,6027231.0,6143138.0,16044.0,93365.0,75837.0,39877.0,18133.0,73732.0,70896.0,68200.0,7717.0,36041.0,40402.0,50566.0,10416.0,37691.0,30494.0,17634.0,3217.0,18718.0,13551.0,8340.0,2093.0,37043.0,31762.0,13484.0,5310.0,55761.0,45313.0,21824.0,318.0,-87.0,30.0,419.0,84844.0,84684.0,87582.0,75626.0,11.941852982786209,11.449122187437933,10.829355579093104,8.399401912786207,8.675074833575863,11.100158141444828,3.542451069982759,2.7740473538758623,-0.2708025622689655,1.404319788175862,0.8459789216448276,0.5853491237413793,7.889817555613793,11.976204069248276,16.16216836367586,9.294137343817242,12.822182990786208,16.747517487717243,136218.1650645539,205488.1149056258,60781.89832739073,82655.85947321553,3278962,2687156,1872404,1465131,564567,458176,-8.99,7.27,5.98,13.06,342.6,376.38,494.7,581.94,152.6,167.65,220.36,259.21,106.17,116.64,153.31,180.34,5142854,5535837,5862424,6026734,2507852,2686869,2834134,2926334,2635002,2848968,3028290,3100400,36.37586206896552,37.94137931034483,38.75172413793104,38.92413793103448,35.327586206896555,36.8,37.49655172413794,37.83793103448276,37.3,38.9,39.91379310344828,39.893103448275866,2929150,3086318,3131418,3021630,1642372,1831421,2004824,2061473,12482,16044,23463,21620,240827,293771,343760,373479,2320,1990,2527,3122,34296.48275862069,34852.24137931035,40038.96551724138,43680.68965517241,19545.0,21057.93103448276,24261.55172413793,27866.379310344822,28646.689655172413,28246.793103448275,32260.793103448275,35554.0,34514.10344827586,33330.10344827586,37743.137931034486,39669.62068965517,47592.65517241379,47858.34482758621,53059.55172413793,58449.93103448276,57224.68965517241,58383.55172413793,63668.51724137931,68978.27586206897,28129.0,26564.96551724138,39961.07142857143,45381.21428571428,31536.344827586207,32526.310344827587,38537.62068965517,42652.65517241379,39751.93103448276,40379.1724137931,44364.0,48140.93103448276,41628.48275862069,45710.79310344828,48685.44827586207,55571.48275862069,23509.13793103448,21624.758620689656,24915.41379310345,26954.13793103448,45223.1724137931,46565.24137931035,50085.10344827586,54673.93103448276,47843.79310344828,53896.27586206896,59115.53571428572,62973.5,38909.96551724138,41688.72413793104,47453.10344827586,52924.65517241379,41191.55172413793,45213.58620689655,50163.96551724138,56115.34482758621,31395.62068965517,35672.793103448275,41348.206896551725,52091.0,48088.65517241379,52129.75862068965,54568.51724137931,60132.58620689655,62694.0,70880.42857142857,75105.375,66808.31578947368,26098.655172413797,26087.379310344822,30702.55172413793,33000.206896551725,34836.34482758621,36757.89655172414,40116.206896551725,43893.27586206896,30206.758620689656,33018.1724137931,35999.24137931035,39721.27586206896,18913.03448275862,16232.25,23297.241379310344,23402.48148148148,12731.655172413792,12601.448275862069,14017.93103448276,15216.103448275862,23702.51724137931,22375.86206896552,25789.41379310345,28523.344827586207,43055.75862068965,42952.41379310345,48009.51724137931,52008.24137931035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40969.62068965517,42355.31034482759,46248.34482758621,50382.06896551724,65027.96551724138,71697.75862068965,72598.89655172414,75128.37931034483,59927.206896551725,63076.03448275862,68527.06896551725,73077.5172413793,2434641,2542630,2857053,2950242,129882,152264,210157,390109,96958,105183,132817,222510,24749,35352,58653,108661,241,356,354,550,4026,7145,10409,30264,93138,99281,124525,213777,5972,8644,12711,23711,3297998.0,3597337.0,3878266.0,4016713.0,428610.0,425853.0,403985.0,383124.0,849173.0,883924.0,927197.0,937328.0,887129.0,997933.0,1050731.0,1074714.0,743486.0,824975.0,930303.0,1001718.0,389600.0,464652.0,566050.0,619829.0,129765,152157,210064,390034,17322,20604,21629,28546,8001,10137,11715,15798,14514,15032,20095,28251,12660,14615,18842,29270,16644,17953,25139,43039,13228,16302,23887,46153,6467,7987,10087,24567,40929,49527,78670,174410,36336.79310344828,44817.0,46794.89655172414,56325.79310344828,0.1299606609828144,0.1183800683672394,0.1041663980758411,0.095382468202234,0.2574813568716536,0.2457162061825178,0.2390751433759314,0.2333569762141333,0.2689901570589187,0.2774088165773737,0.2709280384584244,0.2675605650690004,0.2254355521137369,0.2293293622476848,0.2398760167559419,0.2493874966919468,0.1181322729728762,0.1291655466251841,0.145954403333861,0.1543124938226853,0.3435678250866131,0.358494908872869,0.385830420089803,0.4036999905146322
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,False,False,False,False,True,True,27041.0,24765.0,123380.0,106316.0,21.916842275895608,23.293765754919296,False,False,365.0,360.0,365.0,362.0,265.0,313.0,328.0,324.0,91.0,45.0,36.0,38.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,122.0,105.0,95.0,70.0,57.0,51.0,51.0,41.0,37.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,322.0,262.0,262.0,78.0,38.0,103.0,100.0,0.0,0.0,0.0,0.0,274654.0,270206.0,263653.0,275130.0,122.0,-2428.0,-341.0,958.0,801.0,3010.0,2747.0,2742.0,550.0,2633.0,2895.0,3262.0,251.0,377.0,-148.0,-520.0,232.0,878.0,310.0,275.0,-351.0,-3718.0,-508.0,1051.0,-119.0,-2840.0,-198.0,1326.0,-10.0,35.0,5.0,152.0,6046.0,6221.0,5990.0,5668.0,11.089823889,10.41226426,9.9835791605,9.7008326579,10.97324537,11.876891036,1.3889912313,-0.56098111,-1.893311876,3.2348389949,1.1750280017,1.0012707035,-13.69832732,-1.925529758,3.8266745797,-10.46348832,-0.750501756,4.8279452833,149810.28179817667,213254.5571346996,16282.151964790946,21587.345599898483,109425,87871,49506,51529,15905,15761,-5.47,-0.94,5.14,15.08,632.77,557.1,600.95,728.35,194.83,171.54,185.04,224.26,164.52,144.85,156.25,189.37,273162,275376,266105,273865,132546,133217,128791,133449,140616,142159,137314,140416,39.4,40.6,41.7,42.0,38.3,38.9,40.1,40.5,40.3,42.0,43.0,43.5,179226,184901,174978,168911,43905,42859,38907,37629,610,705,1078,1400,20095,22819,21006,21465,171,71,146,133,34684.0,34107.0,37938.0,40498.0,22371.0,23039.0,23968.0,23953.0,30536.0,29543.0,31022.0,31130.0,36028.0,33351.0,36672.0,39225.0,46174.0,50106.0,54851.0,59512.0,70389.0,70786.0,78906.0,76369.0,17074.0,18977.0,30500.0,32197.0,41793.0,40457.0,44470.0,43900.0,36688.0,38857.0,45238.0,48197.0,39986.0,41470.0,48426.0,54681.0,20058.0,21045.0,22910.0,25452.0,40167.0,46124.0,42353.0,42285.0,44324.0,41010.0,52027.0,59375.0,40093.0,41806.0,48405.0,56379.0,41788.0,45837.0,57913.0,61117.0,36613.0,37482.0,37674.0,49766.0,53443.0,58226.0,59764.0,66830.0,34219.0,100250.0,70500.0,65000.0,31132.0,26242.0,26668.0,28656.0,41609.0,47268.0,51584.0,56002.0,34616.0,36855.0,39633.0,42828.0,32028.0,27358.0,31834.0,33885.0,23601.0,20454.0,22503.0,21382.0,25559.0,25234.0,26057.0,26369.0,58397.0,64695.0,69019.0,65960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41951.0,43367.0,48183.0,52638.0,78958.0,86510.0,90905.0,88056.0,65969.0,65529.0,71859.0,75447.0,125903,124851,124793,126406,3202,2480,3963,7358,2583,2223,3332,5497,188,123,305,739,21,0,0,0,105,69,163,518,2517,2150,3190,5335,392,117,250,502,183469.0,187414.0,184676.0,191243.0,28049.0,28850.0,24010.0,23333.0,65193.0,61616.0,59017.0,61970.0,46988.0,49877.0,49700.0,49693.0,29957.0,31830.0,34305.0,36899.0,13282.0,15241.0,17644.0,19348.0,3194,2477,3963,7358,748,445,578,709,440,197,226,537,340,162,388,596,377,263,437,740,336,191,187,571,194,316,575,677,158,184,203,439,601,719,1369,3089,26760.0,44750.0,53444.0,62413.0,0.1528814132087709,0.1539372725623486,0.1300114795642097,0.1220070799976992,0.3553352337452103,0.3287694622600232,0.3195704910221144,0.3240380040053753,0.2561086614087393,0.2661327328801477,0.2691199722757694,0.2598421903023901,0.1632809902490339,0.1698378989830002,0.1857577595356191,0.1929430096787856,0.0723937013882454,0.0813226333144802,0.0955402976022872,0.1011697160157496,0.2356746916372793,0.2511605322974804,0.2812980571379064,0.2941127256945352
